[SECTIONS]
#id	filepath
1	Resource/Config/Area2/area2_secA.txt
2	Resource/Config/Area2/area2_secB.txt
3	Resource/Config/Area2/area2_secC.txt
4	Resource/Config/Area2/area2_secD.txt
5	Resource/Config/Area2/area2_secE.txt
6	Resource/Config/Area2/area2_secF.txt
7	Resource/Config/Area2/area2_secG.txt
8	Resource/Config/Area2/area2_secH.txt
9	Resource/Config/Area2/area2_secI.txt
10	Resource/Config/Area2/area2_secJ.txt
11	Resource/Config/Area2/area2_secK.txt
12	Resource/Config/Area2/area2_secL.txt
13	Resource/Config/Area2/area2_secM.txt
14	Resource/Config/Area2/area2_secN.txt
15	Resource/Config/Area2/area2_secO.txt
#id	file_path	transparent_color_r g b
[TEXTURES]
0	enemy.png	0	0	255
10	Jason.png	0	0	255
20	Sophia.png	0	0	255
30	area2-tile.png	0	0	255
40	Resource/Background/area2_bg.png	0	0	255
50	Resource/Foreground/area2_fg.png	0	0	255
60	Items.png	0	0	255
70	Resource\StatusBar\StatusBar.png	0	0	255
90	Resource/tileset/overworld_tileset.png	255	255	255
-100	Resource/Background/bbox.png	0	0	255
# id	left	top	right	bottom	texture_id
#sound
# id	path
[SOUNDS]
SophiaFire	Resource\Sound\SophiaFire.wav
Jump	Resource\Sound\Jump.wav
Hit	Resource\Sound\Hit.wav
SophiaDed	Resource\Sound\SophiaDed.wav
JHit	Resource\Sound\JasonHit.wav
JasonFire	Resource\Sound\MiniJasonFire.wav
JasonDed	Resource\Sound\JasonDed.wav
lvl2	Resource\Sound\lvl2.wav
Open	Resource\Sound\Open.wav
Skull	Resource\Sound\Skull.wav
Floater	Resource\Sound\Fly.wav
Mine	Resource\Sound\Mine.wav
Rocket	Resource\Sound\Rocket.wav
[SPRITES]
#=========TILE=============
1	1	1	17	17	30
2	21	1	37	17	30
3	41	1	57	17	30
4	61	1	77	17	30
5	81	1	97	17	30
6	101	1	117	17	30
7	121	1	137	17	30
8	141	1	157	17	30
9	161	1	177	17	30
10	181	1	197	17	30
11	201	1	217	17	30
12	1	21	17	37	30
13	21	21	37	37	30
14	41	21	57	37	30
15	61	21	77	37	30
16	81	21	97	37	30
17	101	21	117	37	30
18	121	21	137	37	30
19	141	21	157	37	30
20	161	21	177	37	30
21	181	21	197	37	30
22	201	21	217	37	30
23	1	41	17	57	30
24	21	41	37	57	30
25	41	41	57	57	30
26	61	41	77	57	30
27	81	41	97	57	30
28	101	41	117	57	30
29	121	41	137	57	30
30	141	41	157	57	30
31	161	41	177	57	30
32	181	41	197	57	30
33	201	41	217	57	30
34	1	61	17	77	30
35	21	61	37	77	30
36	41	61	57	77	30
37	61	61	77	77	30
38	81	61	97	77	30
39	101	61	117	77	30
40	121	61	137	77	30
41	141	61	157	77	30
42	161	61	177	77	30
43	181	61	197	77	30
44	201	61	217	77	30
45	1	81	17	97	30
46	21	81	37	97	30
47	41	81	57	97	30
48	61	81	77	97	30
49	81	81	97	97	30
50	101	81	117	97	30
51	121	81	137	97	30
52	141	81	157	97	30
53	161	81	177	97	30
54	181	81	197	97	30
55	201	81	217	97	30
56	1	101	17	117	30
57	21	101	37	117	30
58	41	101	57	117	30
59	61	101	77	117	30
60	81	101	97	117	30
61	101	101	117	117	30
62	121	101	137	117	30
63	141	101	157	117	30
64	161	101	177	117	30
65	181	101	197	117	30
66	201	101	217	117	30
67	1	121	17	137	30
68	21	121	37	137	30
69	41	121	57	137	30
70	61	121	77	137	30
71	81	121	97	137	30
72	101	121	117	137	30
73	121	121	137	137	30
74	141	121	157	137	30
75	161	121	177	137	30
76	181	121	197	137	30
77	201	121	217	137	30
78	1	141	17	157	30
79	21	141	37	157	30
80	41	141	57	157	30
81	61	141	77	157	30
82	81	141	97	157	30
83	101	141	117	157	30
84	121	141	137	157	30
85	141	141	157	157	30
86	161	141	177	157	30
87	181	141	197	157	30
88	201	141	217	157	30
89	1	161	17	177	30
90	21	161	37	177	30
91	41	161	57	177	30
92	61	161	77	177	30
93	81	161	97	177	30
94	101	161	117	177	30
